KRATime;KRAMaxTemp;KRAMinTemp
1999-01-1;-;-
1999-01-2;-;-
1999-01-3;-;-
1999-01-4;-;-
1999-01-5;-;-
1999-01-6;-;-
1999-01-7;-;-
1999-01-8;-;-
1999-01-9;-;-
1999-01-10;-;-
1999-01-11;-;-
1999-01-12;-;-
1999-01-13;-;-
1999-01-14;-;-
1999-01-15;-7;-16
1999-01-16;-13;-19
1999-01-17;-16;-24
1999-01-18;-9;-23
1999-01-19;-6;-10
1999-01-20;-5;-14
1999-01-21;-8;-14
1999-01-22;-4;-8
1999-01-23;-6;-28
1999-01-24;-27;-41
1999-01-25;-36;-44
1999-01-26;-36;-41
1999-01-27;-;-
1999-01-28;-25;-34
1999-01-29;-20;-24
1999-01-30;-17;-23
1999-01-31;-17;-27
1999-02-1;-3;-16
1999-02-2;0;-16
1999-02-3;-8;-18
1999-02-4;-2;-17
1999-02-5;-;-
1999-02-6;-;-
1999-02-7;-;-
1999-02-8;-;-
1999-02-9;-;-
1999-02-10;-;-
1999-02-11;-;-
1999-02-12;-;-
1999-02-13;-;-
1999-02-14;-;-
1999-02-15;-;-
1999-02-16;-;-
1999-02-17;-;-
1999-02-18;-;-
1999-02-19;-;-
1999-02-20;-;-
1999-02-21;-;-
1999-02-22;-;-
1999-02-23;-;-
1999-02-24;-;-
1999-02-25;-;-
1999-02-26;-;-
1999-02-27;-;-
1999-02-28;-;-
1999-03-1;-;-
1999-03-2;-;-
1999-03-3;-;-
1999-03-4;-;-
1999-03-5;-;-
1999-03-6;-;-
1999-03-7;-;-
1999-03-8;-;-
1999-03-9;-;-
1999-03-10;-;-
1999-03-11;-;-
1999-03-12;-;-
1999-03-13;-;-
1999-03-14;-;-
1999-03-15;-;-
1999-03-16;-;-
1999-03-17;-;-
1999-03-18;-;-
1999-03-19;-;-
1999-03-20;-;-
1999-03-21;-;-
1999-03-22;-;-
1999-03-23;-14;-17
1999-03-24;-14;-19
1999-03-25;-11;-24
1999-03-26;-7;-25
1999-03-27;-5;-17
1999-03-28;-6;-21
1999-03-29;-5;-22
1999-03-30;-4;-19
1999-03-31;1;-17
1999-04-1;4;-2
1999-04-2;-1;-7
1999-04-3;2;-5
1999-04-4;5;-4
1999-04-5;11;6
1999-04-6;11;0
1999-04-7;9;0
1999-04-8;2;-5
1999-04-9;5;0
1999-04-10;7;-5
1999-04-11;7;4
1999-04-12;11;2
1999-04-13;6;1
1999-04-14;10;0
1999-04-15;4;-5
1999-04-16;-2;-12
1999-04-17;0;-14
1999-04-18;2;-13
1999-04-19;0;-12
1999-04-20;2;-12
1999-04-21;0;-4
