NOVTime;NOVMaxTemp;NOVMinTemp
1999-01-1;1;-5
1999-01-2;-;-27
1999-01-3;-27;-32
1999-01-4;-19;-31.8
1999-01-5;-19;-23.6
1999-01-6;-18;-21.4
1999-01-7;-16;-23
1999-01-8;-11.3;-22
1999-01-9;-9.4;-18
1999-01-10;-;-
1999-01-11;-10.5;-22
1999-01-12;-8.3;-24
1999-01-13;-5;-20
1999-01-14;-4;-14
1999-01-15;-10.3;-22
1999-01-16;-17.7;-23
1999-01-17;-20.1;-25
1999-01-18;-10;-23.4
1999-01-19;-7;-11.9
1999-01-20;-5.6;-14.1
1999-01-21;-8;-14.6
1999-01-22;-5;-27
1999-01-23;-27;-34.3
1999-01-24;-23;-34.4
1999-01-25;-31;-36.6
1999-01-26;-21.3;-37.2
1999-01-27;-18.2;-27
1999-01-28;-4;-23.3
1999-01-29;-1;-14
1999-01-30;-14.8;-27
1999-01-31;-8;-25.6
1999-02-1;-8.5;-14
1999-02-2;-5.9;-16
1999-02-3;-6.9;-13
1999-02-4;-1.2;-10
1999-02-5;-1;-15
1999-02-6;-15.9;-23
1999-02-7;-11.5;-23
1999-02-8;-8.6;-18
1999-02-9;-1.9;-20
1999-02-10;-1.1;-20
1999-02-11;2.5;-5.3
1999-02-12;0;-11
1999-02-13;-6;-12
1999-02-14;-4;-11
1999-02-15;-10.9;-22
1999-02-16;-11;-23
1999-02-17;-7;-18
1999-02-18;-2.4;-20
1999-02-19;-3.9;-20
1999-02-20;-5.5;-21
1999-02-21;-3.6;-23
1999-02-22;-1.9;-22
1999-02-23;-3.2;-18
1999-02-24;2.5;-5
1999-02-25;4;-4
1999-02-26;-1.2;-6
1999-02-27;-4.8;-11
1999-02-28;-7.9;-21
1999-03-1;-5.3;-22
1999-03-2;-7;-14
1999-03-3;-15.7;-28
1999-03-4;-16.3;-33
1999-03-5;-16.8;-35
1999-03-6;-15;-35
1999-03-7;-14;-31
1999-03-8;-16;-30
1999-03-9;-14.3;-26
1999-03-10;-11;-20.6
1999-03-11;-12.5;-22
1999-03-12;-14.8;-26
1999-03-13;-14.8;-29
1999-03-14;-13.1;-30
1999-03-15;-13.9;-26
1999-03-16;-17.6;-27
1999-03-17;-17.5;-28
1999-03-18;-17;-28
